# u, v, x, y, z
216,93,2.687000036239624,0.656000018119812,0.5659999847412109
214,200,2.683000087738037,0.7089999914169312,-0.02199999988079071
350,114,3.555000066757202,-0.05000000074505806,0.5960000157356262
347,195,3.546999931335449,-0.054999999701976776,-0.032999999821186066
331,14,3.884999990463257,0.04600000008940697,1.4809999465942383
215,92,2.6659998893737793,0.6779999732971191,0.574999988079071
214,204,2.697000026702881,0.6790000200271606,-0.004999999888241291
351,113,3.569000005722046,-0.06199999898672104,0.5809999704360962
349,198,3.4549999237060547,-0.06599999964237213,-0.010999999940395355
332,11,3.815999984741211,-0.04399999976158142,1.4579999446868896
